<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/17,13:59:00,60937.0000000,60938.0000000,60926.0000000,60932.0000000,1314
02/01/17,14:05:00,60934.0000000,60940.0000000,60930.0000000,60935.0000000,1488
02/01/17,14:06:00,60932.0000000,60933.0000000,60914.0000000,60917.0000000,2014
02/01/17,14:07:00,60919.0000000,60926.0000000,60913.0000000,60923.0000000,1520
02/01/17,14:08:00,60923.0000000,60923.0000000,60911.0000000,60912.0000000,1815
02/01/17,14:09:00,60912.0000000,60933.0000000,60894.0000000,60913.0000000,6189
02/01/17,14:10:00,60915.0000000,60923.0000000,60909.0000000,60916.0000000,1369
02/01/17,14:11:00,60914.0000000,60915.0000000,60908.0000000,60909.0000000,1162
02/01/17,14:12:00,60911.0000000,60918.0000000,60901.0000000,60915.0000000,2494
02/01/17,14:13:00,60913.0000000,60926.0000000,60905.0000000,60906.0000000,3933
02/01/17,14:14:00,60908.0000000,60910.0000000,60891.0000000,60896.0000000,3436
02/01/17,14:15:00,60896.0000000,60905.0000000,60883.0000000,60903.0000000,2958
02/01/17,14:16:00,60900.0000000,60911.0000000,60900.0000000,60906.0000000,1787
02/01/17,14:17:00,60905.0000000,60910.0000000,60902.0000000,60908.0000000,1495
02/01/17,14:18:00,60909.0000000,60910.0000000,60906.0000000,60906.0000000,456
02/01/17,14:19:00,60906.0000000,60913.0000000,60904.0000000,60908.0000000,1093
02/01/17,14:20:00,60905.0000000,60913.0000000,60905.0000000,60909.0000000,887
02/01/17,14:21:00,60908.0000000,60912.0000000,60900.0000000,60903.0000000,2077
02/01/17,14:22:00,60903.0000000,60910.0000000,60881.0000000,60897.0000000,4134
02/01/17,14:23:00,60898.0000000,60900.0000000,60890.0000000,60892.0000000,1456
02/01/17,14:24:00,60894.0000000,60914.0000000,60893.0000000,60905.0000000,2640
02/01/17,14:25:00,60904.0000000,60906.0000000,60891.0000000,60894.0000000,890
02/01/17,14:26:00,60894.0000000,60901.0000000,60893.0000000,60897.0000000,302
02/01/17,14:27:00,60894.0000000,60900.0000000,60890.0000000,60894.0000000,609
02/01/17,14:28:00,60893.0000000,60903.0000000,60891.0000000,60896.0000000,698
02/01/17,14:29:00,60896.0000000,60903.0000000,60891.0000000,60903.0000000,620
02/01/17,14:30:00,60903.0000000,60907.0000000,60890.0000000,60896.0000000,1400
02/01/17,14:31:00,60895.0000000,60900.0000000,60891.0000000,60899.0000000,330
02/01/17,14:32:00,60897.0000000,60902.0000000,60894.0000000,60900.0000000,1281
02/01/17,14:33:00,60900.0000000,60902.0000000,60886.0000000,60896.0000000,1555
02/01/17,14:34:00,60896.0000000,60902.0000000,60893.0000000,60898.0000000,325
02/01/17,14:35:00,60896.0000000,60896.0000000,60876.0000000,60880.0000000,2634
02/01/17,14:36:00,60878.0000000,60880.0000000,60871.0000000,60871.0000000,2402
02/01/17,14:37:00,60872.0000000,60883.0000000,60870.0000000,60878.0000000,999
02/01/17,14:38:00,60878.0000000,60884.0000000,60871.0000000,60874.0000000,711
02/01/17,14:39:00,60875.0000000,60889.0000000,60870.0000000,60887.0000000,1246
02/01/17,14:40:00,60882.0000000,60887.0000000,60874.0000000,60880.0000000,720
02/01/17,14:41:00,60878.0000000,60905.0000000,60877.0000000,60903.0000000,3695
02/01/17,14:42:00,60904.0000000,60919.0000000,60903.0000000,60910.0000000,3000
02/01/17,14:43:00,60910.0000000,60917.0000000,60908.0000000,60913.0000000,3054
02/01/17,14:44:00,60912.0000000,60912.0000000,60893.0000000,60900.0000000,2465
02/01/17,14:45:00,60899.0000000,60909.0000000,60893.0000000,60906.0000000,923
02/01/17,14:46:00,60903.0000000,60908.0000000,60897.0000000,60897.0000000,795
02/01/17,14:47:00,60897.0000000,60900.0000000,60895.0000000,60898.0000000,348
02/01/17,14:48:00,60895.0000000,60906.0000000,60895.0000000,60896.0000000,3435
02/01/17,14:49:00,60896.0000000,60901.0000000,60895.0000000,60900.0000000,1184
02/01/17,14:50:00,60900.0000000,60900.0000000,60881.0000000,60881.0000000,4263
02/01/17,14:51:00,60883.0000000,60883.0000000,60829.0000000,60831.0000000,22487
